"`_id`","title","author","publisher","`date`","price","content","category","score"
1,흔한남매 2,흔한남매 원저/백난도 글/유난희 그림/샌드박스네트워크 감수,미래엔아이세움,"2019년 09월","11,000원","웃음 폭탄 '에피소드'와 깨알 재미 '놀이'의 조합!어린이의 웃음 코드에 맞춰 엄선한 에피소드를 앙증맞고 유머스러운 만화로 풀어냈습니다. 웃음을 유발하는 에이미와 으뜸이의 티격태격한 이야기는 물론, 새 친구 사귀는 으뜸이의 꿀팁, 중2병에 걸린 으뜸이를 구하려는 에이미의 고군분투, 남매의 원시 시대 전생 스토리 등 골라 읽는 재미가 가득한 에피소드 만화가 수록되어 있습니다. 또한 에피소드 만화 중간중간에는 유튜브에서는 만날 수 없었던 '다른 그림 찾기', '끝말잇기', '시크릿 레시피' 등 깨알 재미가 가득한 놀이 페이지가 수록되어 있습니다.",만화/애니메이션,"9.9"
2,흔한남매 1,흔한남매 원저/백난도 글/유난희 그림/샌드박스네트워크 감수,미래엔아이세움,"2019년 06월","11,000원","“냐~하! 뷔앤비~ 오위! 움하하하!”“역시 난 아이돌이 될 운명인 것 같~하!”아이돌 가수가 꿈인 초등학교 5학년 여동생, 에이미. 그런 동생을 놀리는 재미로 사는 듯한 중학교 2학년 오빠, 으뜸. 언제나 조용할 날 없는, 웃음 폭탄 흔한남매의 일상이 만화로 탄생했다! ‘흔한남매’는 유튜브 구독자 수가 113만 명을 넘어서는 인기 크리에이터로, 샌드박스네트워크에 소속되어 있습니다. 상황극?콩트 등을 통해 어린이들에게 큰 사랑을 받고 있으며, 주로 남매 사이에서 일어날 수 있는 현실적인 에피소드를 코믹하게 그려 내어 웃음과 공감을 이끌어 내고 있습니다. 『흔한남매 1』은 ‘흔한남매’ 유튜브 영상의 스토리를 앙증맞고 유머러스한 만화로 풀어낸 코믹북입니다. 하루도 조용할 날이 없는 으뜸이와 에이미의 일상 스토리는 진짜 웃음이 필요한 어린이들에게 순수한 웃음과 유쾌한 우애를 선사할 것입니다.",만화일반,"9.9"
3,"2020 부의 지각변동",박종훈 저,"21세기북스","2019년 07월","17,000원","당신이 놓쳐선 안 될 단 하나의 경제 바이블! KBS 박종훈 기자의 경제 대전망과 생존전략! “어제의 패턴으로는 내일을 예측할 수 없다!” 2020년 경제 변화, 7가지 ‘시그널’만 알면 된다! KBS 보도본부 경제부장 박종훈 기자는 『2020 부의 지각변동』을 통해 곧 도래할 ‘부의 지각변동’을 읽어내는 방법으로 ‘시그널’을 제안한다. 이 책은 2020에 정말 경제 위기가 올 것인지 분석하면서 쏟아지는 수많은 정보 중에서 가짜 시그널과 진짜 시그널을 가려내는 방법을 알려준다. 나아가 경제 이슈 중 가장 중요한 ‘금리, 부채, 버블, 환율, 중국, 인구, 쏠림’이라는 7가지 시그널을 소개하면서 이 시그널에서 어떤 변화에 주목해야 하며, 각각의 변화가 어떤 결과를 낳을지 전문가의 시선으로 날카롭게 예측한다. 마지막으로 머지않아 불어 닥칠 대규모 경제 위기 속에서 어떻게 하면 승자가 될 수 있을지 저자의 노하우를 담은 투자 전략을 알려준다. 경제 위기는 피할 수 없는 우리의 미래다. 이 책은 독자들이 부의 지각변동 속에서 무너지지 않고 기회를 만드는 결정적인 계기가 될 것이다.",각국 경제/경제사/전망,"9.5"
4,"90년생이 온다 ",임홍택 저,웨일북,"2018년 11월","14,000원","“얘네 무슨 생각을 하는 걸까?” 공무원을 갈망하고, 호구가 되기를 거부하는 낯선 존재들의 세계에서 함께 사는 법 1990년대생의 꿈이 9급 공무원이 된 지 오래다. 최종 합격률이 2퍼센트가 채 되지 않는 공무원 시험에 수십만 명이 지원한다. 이들은 ‘9급 공무원 세대’다. 기성세대는 이런 산술적인 통계를 근거로 90년대생을 피상적으로 이해하거나, 무슨 생각을 하는지 모르겠다며 세태를 비판하곤 한다. 그러나 그건 변하는 세상에서 ‘꼰대’로 남는 지름길이다. 중요한 것은 공무원 시험 자체가 아니라 그들의 세대적 특징이다. 90년대생은 이제 조직에서는 신입 사원이, 시장에서는 트렌드를 이끄는 주요 소비자가 되어 우리 곁에 있다. 문제는 기성세대의 관점에서 그들을 이해하기가 어렵다는 것이다. 이 책에 담긴 여러 통계와 사례, 인터뷰에는 그들을 이해할 수 있는 실마리가 담겨 있다. 많은 90년대생은 알아듣기 힘든 줄임말을 남발하고, 어설프고 맥락도 없는 이야기에 열광하며, 회사와 제품에는 솔직함을 요구하고, 조직의 구성원으로서든 소비자로서든 호구가 되기를 거부한다. 그들은 자신에게 ‘꼰대질’을 하는 기성세대나 자신을 ‘호갱’으로 대하는 기업을 외면한다. 이 책은 몰려오는 그들과 공존하기 위해 이해하기 어려워도 받아들여야 할 것들을 담았다. 이를 통해 각 산업의 마케터는 새로운 고객을 이해하기 위한 툴과 인사이트를 얻을 수 있을 것이고, 기업의 담당자는 본격적으로 기업에 입사하는 세대를 위한 실질적인 인사 관리 가이드와 그들의 잠재력을 이끌어내는 방안도 살펴볼 수 있을 것이다.",트렌드/미래예측,"8.5"
5,여행의 이유,김영하 저,문학동네,"2019년 04월","13,500원","“나는 그 무엇보다 우선 작가였고, 그다음으로는 역시 여행자였다.” 여행-일상-여행의 고리를 잇는, 아홉 개의 매혹적인 이야기 『여행의 이유』는 작가 김영하가 처음 여행을 떠났던 순간부터 최근의 여행까지, 오랜 시간 여행을 하면서 느끼고 생각했던 것들을 아홉 개의 이야기로 풀어낸 산문이다. 여행지에서 겪은 경험을 풀어낸 여행담이기보다는, 여행을 중심으로 인간과 글쓰기, 타자와 삶의 의미로 주제가 확장되어가는 사유의 여행에 가깝다. 작품에 담긴 소설가이자 여행자로서 바라본 인간과 세상에 대한 이야기들은 놀랄 만큼 매혹적이다. 누구나 한번쯤은 떠올렸을 법한, 그러나 제대로 정리하지 못한 채 남겨두었던 상념의 자락들을 끄집어내 생기를 불어넣는 김영하 작가 특유의 (인)문학적 사유의 성찬이 담겼다. 꽤 오래전부터 여행에 대해 쓰고 싶었다. 여행은 나에게 무엇이었나, 무엇이었기에 그렇게 꾸준히 다녔던 것인가, 인간들은 왜 여행을 하는가, 같은 질문들을 스스로에게 던지고 답을 구하고 싶었다. 지나온 삶을 돌아보면, 그러니까 내가 들인 시간과 노력을 기준으로 보면, 나는 그 무엇보다 우선 작가였고, 그다음으로는 역시 여행자였다. 글쓰기와 여행을 가장 많이, 열심히 해왔기 때문이다. 글쓰기에 대해서는 쓸 기회가 많았지만 여행은 그렇지를 못했다. 가벼운 마음으로 시작했는데 쓰다보니 정말 많은 것들이 기억 깊은 곳에서 딸려 올라왔다. _212~213쪽 「작가의 말」에서",여행 에세이,"8.8"
6,Go Go 카카오프렌즈 10,김미영 글/김정한 그림,아울북,"2019년 09월","12,000원","『GOGO 카카오프렌즈』 최초 아프리카 대륙으로 시간여행을 떠난 비밀 요원 카카오프렌즈! 골칫거리 악당 이프에 새로운 인물 이브까지! 카카오프렌즈는 세계 역사를 지킬 수 있을까?!세계의 역사가 퍼즐 형태로 보관돼 있는 ‘히스토리 뱅크’에 악당 이프가 침입하는 바람에 퍼즐이 뿔뿔이 흩어졌다. 카카오프렌즈는 역사 퍼즐을 훔쳐내 자기 마음대로 역사를 바꾸려고 하는 이프를 막고 퍼즐을 되찾아 세계 역사를 지키라는 임무를 부여 받은 비밀 요원이 되었다. 카카오프렌즈의 모험은 프랑스를 시작으로 어느새 열 번째 나라인 이집트에 이르렀다. 매번 악당 이프의 계략은 점점 더 치밀해지고, 이제 이프의 쌍둥이 동생 이브까지 등장했다! 카카오프렌즈는 이프와 이브의 악행을 막고 이번에도 세계 역사를 지켜낼 수 있을까?『GOGO 카카오프렌즈』는 역사에 ‘만약’이 존재한다면 어떻게 될까 하는 호기심에서 이야기가 시작되었다. 여기에 매력적인 악당, 비밀스러운 임무, 임무를 도와줄 비밀 무기 등 첩보물의 특성까지 녹여내어 상상력을 자극하는 짜릿한 모험으로 독자들의 마음을 사로잡았다. 매번 새로워지는 악당 이프와 비밀 요원 카카오프렌즈의 대결은 새로운 캐릭터 이브의 등장으로 더욱더 불꽃이 튈 예정이다. 이번에는 『GOGO 카카오프렌즈』에서 처음 다루는 아프리카 대륙의 나라 이집트로 여행을 떠난다. 카카오프렌즈는 또 어떤 매력을 뽐내며 활약할까? 함께 이집트로 떠나보자!",학습만화,"10.0"
7,설민석의 삼국지 1,설민석 저,세계사,"2019년 07월","22,000원","알차고 주요한 핵심 콘텐츠만! 머리에 쏙쏙 들어오는 설명으로! 이보다 더 쉬울 수는 없다! 대한민국 대표, ‘지식 큐레이터’의 삼국지 끝내기 강의! 설민석표 큐레이팅으로 재탄생된 삼국지! 『설민석의 삼국지』는 수십여 권에 달하는 방대한 중국 『삼국지연의』를, 핵심적인 주요 사건들을 위주로 뽑아 단 2권에 담았다. 저자는 삼국지 입문서를 표방하며, 여러 가지 이유로 아직 삼국지의 진면모를 경험하지 못한 독자들에게 다가간다. 설민석 특유의 강의식 말투로 꼭 알아야 하는 내용을 쉽게 풀어 설명해 주고, 현대식 비유와 오늘날의 우리에게 필요한 교훈들도 곁들였다. 1,000명에 달하는 헷갈리던 인물들의 이름과, 어디가 어디인지 구별도 안 되었던 지명들은 착착 정리되어 표시되었다. 복잡하게 전개되었던 사건들과 플롯은 단번에 이해하기 쉽게 구성되어 술술 읽힌다. 뿐만 아니라 부록에서는, 기존의 『삼국지연의』와 다르게 표현된 부분들을 한 번 더 친절하게 서술하여, 혹여나 생길 수 있는 독자들의 오해를 푸는데 최대한 도움을 준다. 이 책을 통해 삼국지의 전체 흐름과 내용을 파악한 후엔 다른 삼국지 콘텐츠를 만나도 반갑게 접근할 수 있을 것이다.",인문/교양 일반,"9.6"
8,설민석의 삼국지 2,설민석 저,세계사,"2019년 08월","22,000원","알차고 주요한 핵심 콘텐츠만! 머리에 쏙쏙 들어오는 설명으로! 이보다 더 쉬울 수는 없다! 대한민국 대표, ‘지식 큐레이터’의 삼국지 끝내기 강의! 2,000년 간 사랑받으며 우리 삶의 일부가 되어 버린 최장기 베스트셀러! 삼국지처럼 다양한 형태로 수많은 작품들이 되어 나온 책이 과연 또 있을까? 중국 5,000년 역사에서 가장 유명한 작품이자, 지난 수백 년간 장기 스테디셀러의 아성을 지켜왔던 책. ‘삼국지를 세 번 이상 읽지 않은 자와는 인생을 논하지 말고, 열 번 이상 읽은 자와는 감히 상대도 하지 마라.’ 삼국지가 인생을 이해하고, 살아가는 데에 얼마나 큰 도움을 줄 수 있는지 단박에 보여주는 유명한 말이다. 이는 삼국지가 ‘우리의 삶 그 자체’를 이야기하고 다루고 있기 때문이다. 삼국지에는 온갖 천태만상의 인간관이 들어있다. 자신이 처한 상황과 사익에 따라 시시때때로 바뀌기도 하는 영웅들의 정체성, 천하의 패권을 쟁취하기 위해 명분과 실리 사이에서 충돌하는 자아의 모습들은 현재 우리의 모습과 놀라울 정도로 닮아 있다. 인생을 성공으로 이끈 수많은 리더들이 가장 기억에 남는 도서 혹은 필히 권하고 싶은 고전을 꼽을 때 삼국지가 언제나 1위를 차지하는 것은 결코 우연이 아니다.",인문/교양 일반,"9.7"
9,공부머리 독서법,최승필 저,책구루,"2018년 05월","16,500원","“최고의 독서교육법은 실행 가능한 독서법입니다”창비 좋은 어린이책 대상을 수상한 독서교육 전문가 최승필 작가가초중등 학부모를 위해 쓴 우리 아이 독서교육 지침서!『공부머리 독서법』은 12년 동안 최승필 작가가 아이들과 함께 독서 논술 수업을 하면서 축적한 노하우를 집약한 독서교육 지침서다. 전국을 누비며 독서법 강연을 하는 전문가지만 『공부머리 독서법』에는 가정에서 실현 가능한 독서법만을 엮었다. 실제 사례와 데이터를 바탕으로 직접 효과를 본 독서법들이 알차게 채워져 있다. 충실한 내용만큼 『공부머리 독서법』에서 눈여겨보아야 할 점은 독서교육의 본질과 원리를 꿰뚫는 작가의 통찰이다. 어린이 책 작가이면서 그 역시 세 아이에게 매일 책을 읽어줘야 하는 아빠답게 『공부머리 독서법』에는 아이와 학부모의 마음을 들여다보는 문장이 자주 눈에 띈다. 저자는 진정성 담긴 글을 통해 독서교육에서 맞닥뜨리게 되는 다양한 문제에 통쾌한 해법을 제시한다. 매 장의 끄트머리에는 정보 페이지를 두어 아이의 학년과 읽기 수준에 따라 적용할 수 있는 14개의 독서법을 실었다. 계획표 형태로 된 독서법 페이지는 주의해야 할 점과 구체적인 독서 효과까지 담고 있어 누구나 쉽게 독서계획을 세울 수 있도록 도와준다. 마지막 장 ‘단기간에 언어능력을 끌어올리는 법’은 성인 독자도 실행해볼 만한 내용으로 빼곡하다. 눈앞에서 저자의 강의를 직접 보는 듯한 문장을 따라 300쪽이 넘는 책을 술술 읽고 나면, 독서교육의 원리가 일목요연하게 정리된다. 『공부머리 독서법』은 독서교육에 지칠 때마다 틈틈이 꺼내 읽으며 의욕을 충전하고 싶은 초중등 학부모에게 꼭 필요한 책이다.",학습법일반,"9.4"
10,룬의 아이들 - 블러디드 2,전민희 저,엘릭시르,"2019년 09월","14,500원","국내외 총 판매량 300만 부의 밀리언셀러 한국 판타지의 모범이자 현재진행형인 전설 아름다운 세계관과 개성 넘치는 캐릭터, 유려한 문체와 깊이 있는 감성으로 한국 판타지를 이끌어온 전민희 작가의 대표작 『룬의 아이들』 신작이 엘릭시르에서 출간된다. ‘룬의 아이들’ 시리즈는 국내 판매량 총 160만 부를 넘은 밀리언셀러다. 뿐만 아니라 일본, 대만, 태국, 중국에 수출되어 국내외 판매량을 합치면 300만 부를 훌쩍 넘어 아시아 전역에서 가장 사랑받는 판타지라는 평가를 받고 있다. 『룬의 아이들 - 블러디드』는 『룬의 아이들 - 윈터러』에 이은 2부『룬의 아이들 - 데모닉』이 완결된 지 11년 만의 신작으로 1권에 이어 드디어 2권이 출간되었다. 1부 ‘룬의 아이들’ 시리즈 3부에 해당하는 이번 작품은 실종된 오빠에 얽힌 비밀과 맞서 분투하는 공녀를 중심으로 ‘블러디드’라는 힘에 관한 이야기를 다루고 있다. 2권에서는 ‘심각하고 대륙적인 문제’를 저지른 만년 낙제생 막시민이 지명수배자가 되어 쫓기기 시작한 뒤로 이스핀과 벌이는 이야기를 담고 있다.『윈터러』와 『데모닉』의 세계관을 이어받은 3부 『블러디드』는 속도감 있는 전개와 새로운 캐릭터의 등장으로 첫 권부터 독자들의 호기심을 불러일으키고 있다. 원래 ‘룬의 아이들’ 시리즈는 1,2부가 절판된 이후 온라인과 전자책을 통해서만 독자들에게 제공될 예정이었으나 독자들의 지속적인 요구와 바람에 힘입어 종이책으로 다시 선보이게 되었다. 엘릭시르는 『블러디드』 1권 출간을 시작으로, 오랜 기간 절판 상태였던 『윈터러』 완전판(전7권)을 작가의 세심한 가필 수정과 내용 보완을 통해 개정한 원고와 새로운 디자인으로 완간하였으며, 『데모닉』(전9권 예정)도 곧 출간할 예정이다.",판타지,"10.0"
